English,Spanish
ORDER,Ordenar - Disponer
OVERCOME,Vencer - Superar - Triunfar
PACK,Empacar - Envasar
PAINT,Pintar
PARK,Parquear - Estacionar
PASS,Pasar - Aprobar - Superar
PAY,Pagar
PEEL,Pelar
PERMIT,Permitir
PERSUADE,Persuadir - Convencer
PICK UP,Recoger
PLACE,Poner - Colocar - Situar
PLAN,Planear
PLANT,Plantar - Sembrar
PLAY,Jugar - Tocar - Reproducir
POLISH,Pulir
PRACTICE,Practicar
PREFER,Preferir
PREPARE,Preparar
PRINT,Imprimir
PROMISE,Prometer
PRONOUNCE,Pronunciar
PUBLISH,Publicar
PULL,Halar - Tirar De
PUNISH,Castigar
PUSH,Empujar
PUT,Poner - Colocar
QUIT,Omitir - Rendirse
RAIN,Llover
REACH,Llegar - Alcanzar
READ,Leer
RECEIVE,Recibir
RELAX,Relajar - Mitigar
REMAIN,Permanecer - Quedarse
REMEMBER,Recordar - Acordarse
REPAIR,Reparar - Arreglar
REPEAT,Repetir
REPRESENT,Representar
REST,Descansar - Reposar
RID,Librarse de - Deshacerse
RIDE,Cabalgar - Montar
RING,Sonar - Timbrar
RISE,Subir - Ascender
RUN,Correr
SAVE,Guardar - Ahorrar - Salvar
SAY,Decir
SCRUB,Fregar - Restregar
SEASON,Sazonar - Aliñar
SEE,Ver
SEEK,Buscar - Solicitar
SEEM,Parecer
SELECT,Seleccionar
SELL,Vender
SEND,Enviar - Mandar
SET,Establecer - Poner - Fijar
SETTLE,Colonizar - Poblar
SEW,Coser
SHAKE,Sacudir - Menear
SHARE,Compartir
SHARPEN,Afilar - Ampliar
SHED,Quitarse - Despojarse
SHINE,Brillar - Alumbrar
SHOOT,Tirar - Disparar
SHOP,Comprar (De Tiendas)
SHOUT,Gritar
SHOW,Mostrar - Enseñar
SHRINK,Encoger - Contraer
SHUT,Cerrar(Callar)
SIGH,Suspirar - Susurrar
SIGN,Firmar
SIMMER,Cocer A Fuego Lento
SING,Cantar
SINK,Sumergir - Hundir
SIT,Sentarse
SKATE,Patinar
SKI,Esquiar
SLEEP,Dormir
SLICE,Rebanar
SLIDE,Resbalar(Se)
SMELL,Oler - Husmear
SMILE,Sonreir
SMOKE,Fumar
SNEEZE,Estornudar
SOLVE,Resolver
SOUND,Sonar - Tocar
SPEAK,Hablar
SPEED,Acelerar
SPELL,Deletrear
SPEND,Gastar - Pasar El Tiempo
SPILL,Derramar - Regar
SPIN,Hacer Girar (Vueltas)
SPIT,Escupir
SPLASH,Salpicar - Rociar
SPLIT,Agrietar - Hender
SPOIL,Estropear - Echar a perder - Mimar
SPREAD,Extender - Esparcir - Untar
SPRING,Saltar - Brotar
SPRINKLE,Rociar
SQUEEZE,Apretar
STAND,Ponerse De Pie - Pararse
START,Agregar - Comenzar - Empezar - Iniciar
STAY,Permanecer - Quedarse - Durar
STEAL,Robar - Hurtar
STEAM,Cocer A Vapor
STICK,Pegar(se) - Adherir(se)
STING,Picar - Golpear
STINK,Apestar - Oler Mal
STIR,Agregar - Revolver
STOP,Parar - Detener
STRIKE,Golpear - Pegar
STRING,Atar(Cordones)
STRIVE,Esforzarse
STUDY,Estudiar
STUFF,Rellenar
SUBSTRACT,Sustraer - Restar
SUCK,Chupar
SUPPORT,Soportar
SUPPOSE,Suponer
SURROUND,Rodear
SWEAR,Jurar
SWEEP,Barrer
SWIM,Nadar
SWING,Balancearse - Girar - Columpiarse
TAKE,Tomar - Agarrar - Coger
TALK,Hablar - Conversar
TASTE,Saborear - Catar - Probar
TEACH,Enseñar
TEAR,Rasgar - Desgarrar - Arrancar
TELL,Decir - Contar
THINK,Pensar - Creer
THROW,Lanzar - Arrojar
THRUST,Clavar - Empujar
TOUCH,Tocar - Rozar
TRANSLATE,Traducir
TRAVEL,Viajar - Andar - Recorrer
TRUST,Confiar - Creer
TRY,Probar - Intentar - Ensayar - Tratar
TURN,Girar - Dar Vueltas - Dar La Vuelta
TYPE,Mecanografiar - Digitar
UNDERLINE,Subrayar
UNDERSTAND,Entender - Comprender
UNDERTAKE,Encargarse - Emprender
UPSET,Volcar - Trasntornar
USE,Usar
VACUUM,Aspirar
VANISH,Desvanecer(se) - Desaparecer
VISIT,Visitar - Hacer Visitas
WAIT,Esperar
WAKE,Despertar(se)
WALK,Caminar - Andar - Pasear - Andar
WANT,Querer - Desear - Necesitar
WARM,Calentar(Se) - Recalentar
WASH,Lavar - Fregar - Mojar
WATCH,Mirar - Velar - Vigilar
WAVE,Agitar - Ondear
WEAR,Usar - Llevar Puesto
WEAVE,Tejer
WED,Casar(se) - Unirse con
WEEP,Lamentarse - Llorar
WEIGH,Pesar
WHISTLE,Silbar
WIN,Ganar
WIND,Dejar Sin Aliento
WISH,Desear
WITHDRAW,Quitar - Apartar - Retirar
WONDER,Maravillarse - Asombrarse - Preguntarse
WORK,Trabajar - Funcionar
WORRY,Preocupar
WRAP,Empacar - Envolver
WRING,Escurrir - Retorcer
WRITE,Escribir - Redactar
YAWN,Bostezar
